id,postcode,name,id_oblast
66,3770, юпвюп,6
67,6149, юяем,25
68,5738, юяем,12
69,4230, юяемнбцпюд,17
70,8933, юяемнбеж,21
71,5957, юяемнбн,16
72,5159, юяемнбн,5
73,8667, юяемнбн,29
74,5913, юяемнбжх,16
75,9260, юяоюпсунбн,3
76,8485, юяоюпсунбн,2
77,5914, юяоюпсунбн,16
78,3661, юяоюпсунбн,13
79,8140, юрхъ,2
80,8683, юрнкнбн,29
81,6821, юсярю,10
82,8217, юуекни,2
83,4128, юулюрнбн,17
84,6761, юупъмяйн,10
85,8280, юурнонк,2
86,5632, аюаю ярюмю,12
87,7861, аюаю рнмйю,26
88,4156, аюаей,17
89,2683, аюахмн,11
90,2668, аюахмяйю пейю,11
91,5726, аюахмжх,12
92,2365, аюахжю,15
93,4774, аюакнм,22
94,7068, аюанбн,19
95,7573, аюасй,20
96,2784, аюаъй,1
97,5094, аюцюкебжх,5
98,6749, аюцпю,10
99,2530, аюцпемжх,11
100,6944, аюцпхкжх,10
101,6819, аюцпъмйю,10
102,5093, аюдебжх,5
103,2676, аюдхмн,11
104,5441, аюебю кхбюдю,8
105,5304, аюебжх,8
106,5087, аюебжх,5
107,5095, аюфдюпх,5
108,5861, аюийюк,16
109,2427, аюийюкяйн,15
110,9767, аюийнбн,28
111,2133, аюикнбн,23
112,6771, аюивебн,10
113,6698, аюйюкхре,10
114,2295, аюйэнбн,23
115,6816, аюкюаюмнбн,10
116,5615, аюкюаюмяйю,12
117,8471, аюкюаюмвебн,2
118,5370, аюкюкеъ,8
119,5301, аюкюмхре,8
120,2680, аюкюмнбн,11
121,5064, аюкбюм,5
122,5388, аюкбюмжхре,8
123,2948, аюкдебн,1
124,3797, аюкеи,6
125,9485, аюкхй,9
126,5343, аюкхмнбжх,8
127,6363, аюкйюм,27
128,4245, аюкйюм люуюкю,17
129,5634, аюкйюмеж,12
130,7265, аюкйюмяйх,18
131,9549, аюкйюмжх,9
132,5162, аюкйюмжх,5
133,5081, аюксжх,5
134,9600, аюквхй,9
135,1217, аюкью,23
136,2060, аюкэнбжх,23
137,3529, аюкчбхжю,13
138,5370, аюмюпх,8
139,5351, аюмцеижх,8
140,8125, аюмебн,2
141,7167, аюмхяйю,19
142,4940, аюмхре,22
143,3077, аюмхжю,7
144,2905, аюмхвюм,1
145,2388, аюмхые,15
146,7997, аюмйнбеж,26
147,5300, аюмйнбжх,8
148,1320, аюмйъ,23
149,2466, аюмйъ,15
150,9144, аюмнбн,3
151,2770, аюмяйн,1
152,2060, аюмвнбжх,23
153,4360, аюмъ,17
154,8239, аюмъ,2
155,8914, аюмъ,21
156,4523, аюмъ,14
157,2778, аюмъ,1
158,2634, аюпюйнбн,11
159,6910, аюпюжх,10
160,4830, аюпсрхм,22
161,7071, аюяюпанбн,19
162,2883, аюяйюкжх,1
163,8218, аюрю,2
164,4580, аюрюй,14
165,5228, аюрюй,5
166,2340, аюрюмнбжх,15
167,7172, аюрхм,19
168,7169, аюрхьмхжю,19
169,9364, аюрнбн,9
170,5470, аюрньебн,8
171,2295, аюрскхъ,23
172,5764, аюрскжх,12
173,3068, аюспеме,7
174,2219, аюуюкхм,23
175,5567, аюунбхжю,12
176,5367, аюупежх,8
177,5948, аюжнбю люуюкю,16
178,2769, аювебн,1
179,4251, аювйнбн,17
180,6777, аюьебн,10
181,7619, аюыхмн,20
182,6669, аюыхмн,10
183,6068, аюыхмн,25
184,7745, аюъвебн,26
185,9381, адхмжх,9
186,5084, аеапнбн,5
187,5872, аецкеф,16
188,4166, аецнбн,17
189,2395, аецсмнбжх,15
190,4359, аецсмжх,17
191,4817, аедем,22
192,9924, аедфеме,28
193,6716, аедпнбн,10
194,9567, аефюмнбн,9
195,5792, аефюмнбн,12
196,9637, аегбндхжю,9
197,6718, аегбндмн,10
198,2236, аегдем,23
199,3454, аегдемхжю,13
200,9480, аеглеп,9
201,8637, аеглеп,29
202,5094, аеийнбжх,5
203,5673, аейкелерн,12
204,5300, аейпххре,8
205,2793, аек йюлем,1
206,3965, аекю,6
207,3731, аекю пюдю,6
208,2881, аекюяхжю,1
209,4124, аекюыхжю,17
210,9690, аекцсм,9
211,4738, аекеб днк,22
212,2800, аекебеувебн,1
213,8345, аекебпем,2
214,2085, аекецю,23
215,5930, аекеме,16
216,5783, аекемжх,12
217,3441, аекх апец,13
218,3447, аекх апнд,13
219,6262, аекх апъц,25
220,6702, аекх бхп,10
221,6590, аекх днк,27
222,3040, аекх хгбнп,7
223,2011, аекх хяйзп,23
224,7293, аекх кнл,18
225,5662, аекх нязл,12
226,6689, аекх окюяр,10
227,8316, аекхкю,2
228,3462, аекхлек,13
229,7432, аекхмжх,18
230,2780, аекхжю,1
231,2062, аекхжю,23
232,4242, аекхжю,17
233,6557, аекхжю,27
234,5363, аекхжю,8
235,7648, аекхжю,20
236,5628, аекхь,12
237,2709, аекн онке,1
238,3961, аекн онке,6
239,7321, аекнбеж,18
240,4182, аекнбхжю,17
241,4470, аекнбн,14
242,9230, аекнцпюдеж,3
243,3900, аекнцпюдвхй,6
244,8219, аекнднк,2
245,4130, аекнгел,17
246,9801, аекнйнохрнбн,28
247,7917, аекнлнпжх,26
248,5340, аекнлзфхре,8
249,6588, аекнонкжх,27
250,6584, аекнонкъме,27
251,2132, аекноножх,23
252,9178, аекнякюб,3
253,3499, аекнрхмжх,13
254,7138, аекжнб,19
255,5035, аеквебжх,5
256,2025, аеквхм,23
257,2024, аеквхмяйх аюмх,23
258,2824, аекэнбн,1
259,5031, аекъйнбеж,5
260,7134, аекъмнбн,19
261,9133, аемйнбяйх,3
262,9380, аемйнбяйх,9
263,6865, аемйнбяйх,10
264,4201, аемйнбяйх,17
265,2076, аемйнбяйх,23
266,6055, аемйнбяйх,25
267,2488, аепюимжх,15
268,2212, аепемде,23
269,2435, аепемде,15
270,2212, аепемде хгбнп,23
271,5438, аепхебн,8
272,3500, аепйнбхжю,13
273,7857, аепйнбяйх,26
274,5093, аепйнбжх,5
275,8448, аепнмнбн,2
276,2587, аепяхм,11
277,2934, аеякем,1
278,6698, аеямспйю,10
279,5849, ахбнкюпе,16
280,6837, ахбнкъме,10
281,5035, ахфнбжх,5
282,5350, ахфнбжх,8
283,8885, ахйнбн,21
284,2383, ахкхмжх,15
285,8551, ахкйю,2
286,5370, ахкйхмх,8
287,9691, ахкн,9
288,8846, ахкн,21
289,4789, ахкъмяйю,22
290,8855, ахмйня,21
291,4650, ахпйнбю,14
292,6470, ахяеп,27
293,7334, ахяепжх,18
294,7557, ахярпю,20
295,7777, ахярпю,26
296,7121, ахярпемжх,19
297,9412, ахярпеж,9
298,8334, ахярпеж,2
299,3527, ахярпхкхжю,13
300,2724, ахярпхжю,1
301,2644, ахярпхжю,11
302,1444, ахярпхжю,23
303,6769, ахярпнцкед,10
304,3488, акюцнбн,13
305,9812, акюцнбн,28
306,2700, акюцнебцпюд,1
307,7275, акюцнебн,18
308,5178, акюцнебн,5
309,6955, акюцсм,10
310,2678, акюфхебн,11
311,2548, акюреж,11
312,8878, акюреж,21
313,2441, акюреьмхжю,15
314,2617, акюрхмн,11
315,4537, акюрмхжю,14
316,2657, акюрн,11
317,2941, акюряйю,1
318,6742, акемхйю,10
319,8365, акхгмюй,2
320,9132, акхгмюжх,3
321,9787, акхгмюжх,28
322,8896, акхгмеж,21
323,9240, акзяйнбн,3
324,5078, акзяйнбжх,5
325,5453, анюгзр,8
326,5300, анаебжх,8
327,2567, анаеьхмн,11
328,2670, ананб днк,11
329,9616, ананбеж,9
330,2454, ананпюжх,15
331,2660, ананьебн,11
332,2270, анб,23
333,5421, анцюрнбн,8
334,9348, анцдюм,9
335,4343, анцдюм,17
336,4115, анцдюмхжю,17
337,2116, анцдюмкхъ,23
338,2341, анцдюмнб днк,15
339,8948, анцдюмнбн,21
340,8337, анцдюмнбн,2
341,2060, анцдюмнбжх,23
342,5084, анцдюмяйн,5
343,7611, анцдюмжх,20
344,7449, анцдюмжх,18
345,5301, анцдюмвнбжх,8
346,2467, анцнхмю,15
347,2931, анцнкхм,1
348,6460, анцнлхк,27
349,6065, анцнлхкнбн,25
350,7458, анцнлхкжх,18
351,7997, анцнлнкяйн,26
352,7542, анцнпнбн,20
353,8687, анцнпнбн,29
354,2509, анцнякнб,11
355,4855, анцсребн,22
356,2235, анцэнбжх,23
357,3128, андемеж,7
358,6446, андпнбн,27
359,2086, андър,23
360,4964, анебн,22
361,2066, анепхжю,23
362,6744, анфюй,10
363,9475, анфюм,9
364,9677, анфюмнбн,9
365,2811, анфднбн,1
366,8844, анфебжх,21
367,2157, анфемхжю,23
368,5349, анфемжхре,8
369,7089, анфхвем,19
370,9656, анфспеж,9
371,5848, анфспхжю,16
372,2227, анфспхые,23
373,7765, анфспйю,26
374,5926, анфспксй,16
375,9874, анфспнбн,28
376,9368, анфспнбн,9
377,7335, анфспнбн,18
378,6704, анфспжх,10
379,8872, ангюдфхх,21
380,9273, ангбекхияйн,3
381,6269, ангдсцюмнбн,25
382,4654, ангэнбю,14
383,7683, анхк,20
384,2181, анийнбеж,23
385,4103, анийнбн,17
386,5080, анийнбжх,5
387,6958, анимхй,10
388,3840, анимхжю,6
389,6730, анимн,10
390,5307, анимнбжх,8
391,5050, анивебх йнкхах,5
392,5309, аниверю,8
393,3430, анивхмнбжх,13
394,5038, анивнбжх,5
395,3517, анйхкнбжх,13
396,5340, анкрюрю,8
397,4132, анкъпхмн,17
398,8720, анкъпнбн,29
399,6474, анкъпяйх хгбнп,27
400,8631, анкъпяйн,29
401,9124, анкъпжх,3
402,6681, анкъпжх,10
403,4114, анкъпжх,17
404,9472, анмебн,9
405,4233, анп,17
406,4144, анпеж,17
407,4961, анпхе,22
408,2064, анпхйю,23
409,4926, анпхйю,22
410,5335, анпхйх,8
411,4762, анпхйнбн,22
412,3838, анпхкнбеж,6
413,6046, анпхкнбн,25
414,5672, анпхлю,12
415,4464, анпхлевйнбн,14
416,4824, анпхмн,22
417,4905, анпхмнбн,22
418,8999, анпхмжх,21
419,5889, анпхякюб,16
420,6478, анпхякюбжх,27
421,8731, анпхянбн,29
422,7064, анпхянбн,19
423,2407, анпмюпебн,15
424,8898, анпнб днк,21
425,3240, анпнбюм,7
426,2626, анпнбеж,11
427,2010, анпнбеж,23
428,4923, анпнбхмю,22
429,6790, анпнбхжю,10
430,3955, анпнбхжю,6
431,2884, анпнбхвеме,1
432,7174, анпнбн,19
433,2904, анпнбн,1
434,4243, анпнбн,17
435,6070, анпнбн,25
436,6698, анпнбяйн,10
437,3528, анпнбжх,13
438,5333, анпяйнрн,8
439,6187, анпсыхжю,25
440,9752, анпжх,28
441,9255, анпъмю,3
442,5084, аняебжх,5
443,6697, аняхкхжю,10
444,4945, аняхкйнбн,22
445,8446, аняхкйнбн,2
446,7128, аняхкйнбжх,19
447,7533, анямю,20
448,2345, анямей,15
449,7914, анярюм,26
450,3952, анярюмхре,6
451,6716, анярюмжх,10
452,4745, анярхмю,22
453,2140, анребцпюд,23
454,9159, анребн,3
455,3746, анребн,6
456,3634, анребн,13
457,8638, анребн,29
458,3353, анребн,7
459,7125, анрпнб,19
460,3046, анрсмъ,7
461,6589, анрспве,27
462,2483, анунбю,15
463,5891, анунр,16
464,5035, анвйнбжх,5
465,4481, аньскъ,14
466,8640, анъдфхй,29
467,9771, анъм,28
468,6374, анъм анребн,27
469,9147, анъмю,3
470,3832, анъмнбн,6
471,8730, анъмнбн,29
472,5041, анъмнбжх,5
473,4246, анъмжх,17
474,7568, апюдбюпх,20
475,7855, апюймхжю,26
476,2251, апюйэнбжх,23
477,4109, апюмхонке,17
478,6463, апюмхжю,27
479,9967, апюмхвебн,28
480,9361, апюмхые,9
481,5041, апюмйнбжх,5
482,3824, апюмйнбжх,6
483,8983, апюрюм,21
484,4412, апюрюмхжю,14
485,8111, апюрнбн,2
486,7764, апюрнбн,26
487,2222, апюрсьйнбн,23
488,6250, апюръ дюяйюкнбх,25
489,6057, апюръ йсмвебх,25
490,4579, апюжхцнбн,14
491,5862, апецюпе,16
492,3790, апецнбн,6
493,2750, апефюмх,1
494,5360, апефмхжхре,8
495,4959, апегю,22
496,4849, апеге,22
497,2278, апеге,23
498,6792, апегем,10
499,2360, апегмхй,15
500,2972, апегмхжю,1
501,2385, апегмхьйх хгбнп,15
502,2292, апегнбднк,23
503,4160, апегнбн,17
504,5083, апегнбн,5
505,5721, апегнбн,12
506,3260, апемхжю,7
507,7649, апемхжю,20
508,5971, апеяр,16
509,2558, апеяр,11
510,9290, апеярюй,3
511,2072, апеярюйю,23
512,5992, апеяре,16
513,4107, апеярмхй,17
514,9484, апеярмхжю,9
515,5761, апеярмхжю,12
516,6194, апеярнбю,25
517,7331, апеярнбеме,18
518,5884, апеярнбеж,16
519,7177, апеярнбхжю,19
520,4224, апеярнбхжю,17
521,5551, апеярнбн,12
522,2735, апеярнбн,1
523,6442, апнд,27
524,8282, апндхкнбн,2
525,6737, апнь,10
526,3680, апсяюпжх,13
527,6488, апсяебжх,27
528,2185, апсяем,23
529,3126, апсяем,7
530,6595, апсяхмн,27
531,2372, апсямхй,15
532,5342, апзмежхре,8
533,5081, апзвйнбжх,5
534,7069, апзькем,19
535,8357, апзькъм,2
536,5844, апзькъмхжю,16
537,4821, апзыем,22
538,6929, апъцнбеж,10
539,5152, апъцнбхжю,5
540,4294, апъцнбн,17
541,6355, апъцнбн,27
542,6434, апъяр,27
543,8113, апъярнбеж,2
544,9647, апъярнбн,9
545,6345, апъярнбн,27
546,8935, апъярнбн,21
547,6582, асахмн,27
548,2844, асдхкжх,1
549,6159, асгнбцпюд,25
550,2060, асгъйнбжх,23
551,9756, асимнбхжю,28
552,4812, асимнбн,22
553,7753, асимнбн,18
554,5097, асимнбжх,5
555,6966, асй,10
556,7996, асйюй,26
557,4763, асйюрю,22
558,4782, асйюжхре,22
559,4935, асйнбю онкъмю,22
560,3678, асйнбеж,13
561,3242, асйнбеж,7
562,5063, асйнбеж,5
563,3762, асйнбеж,6
564,2293, асйнбеж,23
565,5839, асйнбкзй,16
566,2915, асйнбн,1
567,4930, асйнбн,22
568,4295, асйнбн,17
569,2253, асйнпнбжх,23
570,9115, аскюхп,3
571,2539, асмнбн,11
572,2074, асмнбн,23
573,2792, асмжебн,1
574,2628, аспюмнбн,11
575,8000, аспцюя,2
576,8124, аспцюяйх лхм. аюмх,2
577,4998, аспебн,22
578,5375, аспъ,8
579,2486, асяхмжх,15
580,1520, асялюмжх,23
581,3326, асрюм,7
582,5232, асрнбн,5
583,4652, асрпебю,14
584,2473, асрпнхмжх,15
585,1830, асунбн,23
586,7757, асунбжх,26
587,2236, асвхм опнунд,23
588,2742, асвхмн,1
589,5380, асвсйнбжх,8
590,6058, аздеые,25
591,3635, азгнбеж,13
592,7168, азгнбеж,19
593,2555, азгнбхжю,11
594,7077, азгзм,19
595,7944, азкцюпюмнбн,26
596,9660, азкцюпебн,9
597,5923, азкцюпеме,16
598,5583, азкцюпеме,12
599,6274, азкцюпеме,25
600,5441, азкцюпх,8
601,8274, азкцюпх,2
602,6460, азкцюпхм,27
603,7544, азкцюпйю,20
604,8110, азкцюпнбн,2
605,6569, азкцюпяйю онкъмю,27
606,5733, азкцюпяйх хгбнп,12
607,5284, азкцюпяйн якхбнбн,5
608,2746, азкцюпвебн,1
609,6186, азмгюперн,25
610,9117, азпдюпебн,3
611,5360, азпдюпхре,8
612,3259, азпдюпяйх цепюм,7
613,5365, азпдемх,8
614,2060, азпдн,23
615,7448, азпднйбю,18
616,6710, азпгю пейю,10
617,6884, азпгеъ,10
618,3359, азпгхмю,7
619,9274, азпгхжю,3
620,3520, азпгхъ,13
621,5877, азпйюв,16
622,3245, азпйювебн,7
623,2222, азпкнфмхжю,23
624,2255, азпкъ,23
625,4965, азпвебн,22
626,4527, азрю,14
627,4587, аъцю,14
628,9824, аък апъц,28
629,6770, аък хгбнп,10
630,6073, аък хгбнп,25
631,8961, аък йкюдемеж,21
632,6377, аък йкюдемеж,27
633,9101, аъкю,3
634,7100, аъкю,19
635,8850, аъкю,21
636,5932, аъкю бндю,16
637,8361, аъкю бндю,2
638,8892, аъкю оюкюмйю,21
639,6662, аъкю онкъмю,10
640,9882, аъкю пейю,28
641,4285, аъкю пейю,17
642,4966, аъкю пейю,22
643,5237, аъкю пейю,5
644,3200, аъкю якюрхмю,7
645,5220, аъкю вепйбю,5
646,6590, аъкцпюдеж,27
647,6656, аъкйю,10
648,5344, аъкйнбн,8
649,5084, аъкйнбжх,5
650,6054, аъкн онке,25
651,7422, бюгнбн,18
652,2060, бюйюпек,23
653,9672, бюйкхмн,9
654,2957, бюйкхмнбн,1
655,2590, бюйяебн,11
656,5462, бюкебжх,8
657,5099, бюкерн,5
658,5911, бюпюмю,16
659,4492, бюпбюпю,14
660,8278, бюпбюпю,2
661,5281, бюпдхл,5
662,7780, бюпдсм,26
663,9000, бюпмю,3
664,7638, бюпмемжх,20
665,6536, бюпмхй,27
666,8338, бюпнбмхй,2
667,9814, бюяхк дпслеб,28
668,7571, бюяхк кебяйх,20
669,4363, бюяхк кебяйх,17
670,6068, бюяхк кебяйх,25
671,7749, бюяхк кебяйх,26
672,9543, бюяхкебн,9
673,5576, бюяхкйнбяйю люуюкю,12
674,3658, бюяхкнбжх,13
675,2205, бюяхкнбжх,23
676,5723, бюяхкэнбн,12
677,6556, бюяйнбн,27
678,4364, бедпюпе,17
679,9355, бедпхмю,9
680,8447, бедпнбн,2
681,8457, бегемйнбн,2
682,9941, бейхкяйх,28
683,5351, бекемжх,8
684,6727, бекеьюмх,10
685,8271, бекхйю,2
686,6431, бекхйюм,27
687,6845, бекхйдемве,10
688,7916, бекхйдемве,26
689,9850, бекхйх опеякюб,28
690,5000, бекхйн рзпмнбн,5
691,9547, бекхйнбн,9
692,6282, бекхйнбн,25
693,7964, бекхйнбжх,26
694,4600, бекхмцпюд,14
695,9793, бекхмн,28
696,2476, бекхмнбн,15
697,8458, бекхякюб,2
698,7941, бекхвйю,26
699,9263, бекхвйнбн,3
700,4413, бекхвйнбн,14
701,5365, бекйнбн,8
702,2375, бекйнбжх,15
703,5343, бекйнбжх,8
704,5097, бекйнбжх,5
705,5643, беквебн,12
706,5032, беквебн,5
707,5367, беквнбжх,8
708,7985, бекэнбн,26
709,5070, бекчбжх,5
710,2849, бекчыеж,1
711,9119, бемекхм,3
712,9751, бемеж,28
713,8473, бемеж,2
714,6078, бемеж,25
715,2066, бемйнбеж,23
716,9219, бемвюм,3
717,6244, бепем,25
718,7957, бепемжх,26
719,2063, бепхмяйн,23
720,6710, бепяйн,10
721,7327, беяекеж,18
722,7942, беяекеж,26
723,8145, беяекхе,2
724,5094, беяекхмю,5
725,7289, беяекхмю,18
726,9828, беяекхмнбн,28
727,8632, беяекхмнбн,29
728,3053, беякеж,7
729,7080, бернбн,19
730,8127, берпем,2
731,6175, берпем,25
732,2579, берпем,11
733,4480, берпем,14
734,7588, берпем,20
735,4493, берпем днк,14
736,9220, берпхмн,3
737,5066, берпхмжх,5
738,9809, берпхые,28
739,5300, берпнбн,8
740,6591, берпсьйю,27
741,4924, беурхмн,22
742,9822, беурнбн,28
743,3918, беыхжю,6
744,6156, бхдем,25
745,3700, бхдхм,6
746,8671, бхдхмжх,29
747,3478, бхдкхжю,13
748,9668, бхдмн,9
749,2495, бхдпюп,15
750,2166, бхдпюпе,23
751,2364, бхдпхжю,15
752,4748, бхебн,22
753,8369, бхгхжю,2
754,5035, бхкюпе,5
755,3773, бхмюпнбн,6
756,6238, бхмюпнбн,25
757,8118, бхмюпяйн,2
758,6375, бхмебн,27
759,4284, бхмхжю,17
760,3482, бхмхые,13
761,5171, бхмнцпюд,5
762,4487, бхмнцпюдеж,14
763,2822, бхмнцпюдх,1
764,3455, бхпнбе,13
765,3057, бхпнбяйн,7
766,6591, бхя,27
767,2358, бхяйъп,15
768,7955, бхянй,26
769,6744, бхянйю,10
770,2665, бхянйю лнцхкю,11
771,6678, бхянйю онкъмю,10
772,9765, бхянйю онкъмю,28
773,4921, бхянйхре,22
774,5098, бхянйнбжх,5
775,2354, бхрюмнбжх,15
776,4975, бхрхмю,22
777,2800, бхупем,1
778,9563, бхвебн,9
779,2213, бхьюм,23
780,6646, бхьецпюд,10
781,2895, бхькеме,1
782,8562, бхьмю,2
783,4939, бхьмебн,22
784,5239, бхьнбцпюд,5
785,1641, бкюдюъ,23
786,2411, бкюдхлхп,15
787,3440, бкюдхлхпнбн,13
788,9379, бкюдхлхпнбн,9
789,6545, бкюдхлхпнбн,27
790,7440, бкюдхлхпнбжх,18
791,5563, бкюдхмъ,12
792,5179, бкюдхякюб,5
793,2215, бкюдхякюбжх,23
794,3748, бкюдхвемжх,6
795,2299, бкюдн рпхвйнб,23
796,5365, бкюднбжх,8
797,5344, бкюивнбжх,8
798,5367, бкюяюрхкх,8
799,3041, бкюяюрхжю,7
800,2841, бкюух,1
801,4724, бкюунбн,22
802,5349, бкюунбжх,8
803,4713, бндюрю,22
804,6709, бндюв,10
805,8750, бндем,29
806,6412, бндем,27
807,4289, бндем,17
808,8693, бндемхвюме,29
809,6051, бндемхвюпнбн,25
810,6852, бндемхвюпяйн,10
811,6382, бндемжх,27
812,9141, бндхжю,3
813,7851, бндхжю,26
814,3831, бндмю,6
815,4826, бндмх оюд,22
816,7657, бндмн,20
817,5166, бндмн,5
818,3924, бндмъмжх,6
819,9495, бндмъмжх,9
820,5061, бнднкеи,5
821,6716, бнфднбн,10
822,4203, бнхяхк,17
823,9958, бнибндю,28
824,6381, бнибндемеж,27
825,9292, бнибндхмн,3
826,4135, бнибндхмнбн,17
827,3332, бнибнднбн,7
828,6353, бнибнднбн,27
829,4967, бнийнбю кзйю,22
830,5045, бнимефю,5
831,8661, бнимхйю,29
832,9473, бнимхйнбн,9
833,3734, бнимхжю,6
834,3481, бнимхжх,13
835,5350, бнимхжхре,8
836,5458, бнимхьйю,8
837,7551, бнимнбн,20
838,6698, бнимнбн,10
839,4347, бнимъцнбн,17
840,1223, бнимъцнбжх,23
841,7670, бнйхк,20
842,2886, бнкмн,1
843,6231, бнкнбюпнбн,25
844,6633, бнкнбюпжх,10
845,7175, бнкнбн,19
846,1346, бнксъй,23
847,5035, бнмеыю бндю,5
848,5660, бпюаебн,12
849,5307, бпюажхре,8
850,2470, бпюавю,15
851,2834, бпюйсонбхжю,1
852,4649, бпюмемжх,14
853,7940, бпюмх йнм,26
854,5347, бпюмхкнбжх,8
855,9663, бпюмхмн,9
856,4906, бпюмхмжх,22
857,6912, бпюмяйн,10
858,2830, бпюмъ,1
859,2445, бпюмъ яремю,15
860,3248, бпюмъй,7
861,4234, бпюрю,17
862,9382, бпюрюпхре,9
863,8109, бпюрхжю,2
864,2059, бпюржю,23
865,2575, бпюржю,11
866,3000, бпюжю,7
867,9345, бпювюмжх,9
868,2151, бпювеь,23
869,6832, бпекн,10
870,8560, бпеянбн,2
871,3779, бпзб,6
872,2254, бпздкнбжх,23
873,4622, бяелхпжх,14
874,2485, бсйюм,15
875,2661, бсйнбн,11
876,5953, бзаек,16
877,6313, бзцкюпнбн,27
878,5041, бзцкебжх,5
879,9157, бзцкем,3
880,8851, бзцкем,21
881,6710, бзгек,10
882,7643, бзкйюм,20
883,5349, бзкйнб днк,8
884,6850, бзкйнбхв,10
885,2807, бзкйнбн,1
886,5365, бзкйнбжх,8
887,2930, бзкйняек,1
888,9963, бзкмюпх,28
889,8748, бзквю онкъмю,29
890,4775, бзквюм,22
891,4947, бзквюм днк,22
892,6893, бзквюмйю,10
893,8341, бзквюмнбн,2
894,6553, бзкве онке,27
895,3650, бзкведпзл,13
896,3851, бзквей,6
897,9280, бзквх днк,3
898,8723, бзквх хгбнп,29
899,8443, бзквхм,2
900,5890, бзквхрпзм,16
901,5081, бзквнбжх,5
902,5086, бзквнбжх,5
903,3939, бзпаю,6
904,4920, бзпаю,22
905,2405, бзпаю,15
906,9781, бзпаюй,28
907,4145, бзпаем,17
908,6873, бзпаем,10
909,6745, бзпаемжх,10
910,3147, бзпаеьмхжю,7
911,4921, бзпахмю,22
912,7674, бзпахмн,20
913,3264, бзпахжю,7
914,9870, бзпахжю,28
915,5128, бзпахжю,5
916,6445, бзпахжю,27
917,5845, бзпахжю,16
918,2248, бзпамхжю,23
919,5233, бзпанбйю,5
920,4710, бзпанбн,22
921,6488, бзпанбн,27
922,3951, бзпанбн,6
923,3948, бзпанбвеж,6
924,9943, бзпаъме,28
925,4907, бзпцнб днк,22
926,5081, бзпгхкйнбжх,5
927,5191, бзпгскхжю,5
928,6873, бзпкх днк,10
929,4989, бзпкх днк,22
930,2085, бзпкхмю,23
931,5050, бзпкхмйю,5
932,4983, бзпкхмн,22
933,8999, бзпкхые,21
934,3752, бзпрно,6
935,2786, бзпуюпх,1
936,6814, бзпуюпх,10
937,3540, бзпьеж,13
938,8157, бзпьхкн,2
939,3265, цюаюпе,7
940,6162, цюаюпебн,25
941,2215, цюаеп,23
942,9419, цюаеп,9
943,6482, цюаепнбн,27
944,8212, цюаепнбн,2
945,2112, цюапю,23
946,5097, цюапюйю,5
947,2898, цюапеме,1
948,2557, цюапеьебжх,11
949,4921, цюапхмю,22
950,9779, цюапхжю,28
951,4795, цюапхжю,22
952,2392, цюапнб днк,15
953,4467, цюапнбхжю,14
954,3453, цюапнбмхжю,13
955,2277, цюапнбмхжю,23
956,2747, цюапнбн,1
957,5300, цюапнбн,8
958,6691, цюапнбн,10
959,5051, цюапнбжх,5
960,8158, цюазп,2
961,9227, цюазпмхжю,3
962,5619, цюазпяйн,12
963,8854, цюбпюхкнбн,21
964,3469, цюбпхк цемнбн,13
965,3525, цюцюмхжю,13
966,7831, цюцнбн,26
967,5367, цюидюпх,8
